vej_stykke_paavirket,bygning_paavirket
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503
bytes=0-12943,bytes=438022264-438022503

